first,second,result
अ,अ,आ
अ,आ,आ
अ,इ,ए
अ,ई,ए
अ,उ,ओ
अ,ऊ,ओ
अ,ऋ,अर्
अ,ॠ,अर्
अ,ऌ,अल्
अ,ॡ,अल्
अ,ए,ऐ
अ,ऐ,ऐ
अ,ओ,औ
अ,औ,औ
आ,अ,आ
आ,आ,आ
आ,इ,ए
आ,ई,ए
आ,उ,ओ
आ,ऊ,ओ
आ,ऋ,अर्
आ,ॠ,अर्
आ,ऌ,अल्
आ,ॡ,अल्
आ,ए,ऐ
आ,ऐ,ऐ
आ,ओ,औ
आ,औ,औ
इ,अ,य् अ
इ,आ,य् आ
इ,इ,ई
इ,ई,ई
इ,उ,य् उ
इ,ऊ,य् ऊ
इ,ऋ,य् ऋ
इ,ॠ,य् ॠ
इ,ऌ,य् ऌ
इ,ॡ,य् ॡ
इ,ए,य् ए
इ,ऐ,य् ऐ
इ,ओ,य् ओ
इ,औ,य् औ
ई,अ,य् अ
ई,आ,य् आ
ई,इ,ई
ई,ई,ई
ई,उ,य् उ
ई,ऊ,य् ऊ
ई,ऋ,य् ऋ
ई,ॠ,य् ॠ
ई,ऌ,य् ऌ
ई,ॡ,य् ॡ
ई,ए,य् ए
ई,ऐ,य् ऐ
ई,ओ,य् ओ
ई,औ,य् औ
उ,अ,व् अ
उ,आ,व् आ
उ,इ,व् इ
उ,ई,व् ई
उ,उ,ऊ
उ,ऊ,ऊ
उ,ऋ,व् ऋ
उ,ॠ,व् ॠ
उ,ऌ,व् ऌ
उ,ॡ,व् ॡ
उ,ए,व् ए
उ,ऐ,व् ऐ
उ,ओ,व् ओ
उ,औ,व् औ
ऊ,अ,व् अ
ऊ,आ,व् आ
ऊ,इ,व् इ
ऊ,ई,व् ई
ऊ,उ,ऊ
ऊ,ऊ,ऊ
ऊ,ऋ,व् ऋ
ऊ,ॠ,व् ॠ
ऊ,ऌ,व् ऌ
ऊ,ॡ,व् ॡ
ऊ,ए,व् ए
ऊ,ऐ,व् ऐ
ऊ,ओ,व् ओ
ऊ,औ,व् औ
ऋ,अ,र् अ
ऋ,आ,र् आ
ऋ,इ,र् इ
ऋ,ई,र् ई
ऋ,उ,र् उ
ऋ,ऊ,र् ऊ
ऋ,ऋ,ॠ
ऋ,ॠ,ॠ
ऋ,ऌ,र् ऌ
ऋ,ॡ,र् ॡ
ऋ,ए,र् ए
ऋ,ऐ,र् ऐ
ऋ,ओ,र् ओ
ऋ,औ,र् औ
ॠ,अ,र् अ
ॠ,आ,र् आ
ॠ,इ,र् इ
ॠ,ई,र् ई
ॠ,उ,र् उ
ॠ,ऊ,र् ऊ
ॠ,ऋ,ॠ
ॠ,ॠ,ॠ
ॠ,ऌ,र् ऌ
ॠ,ॡ,र् ॡ
ॠ,ए,र् ए
ॠ,ऐ,र् ऐ
ॠ,ओ,र् ओ
ॠ,औ,र् औ
ए,अ,ए ऽ
ए,आ,अ आ
ए,इ,अ इ
ए,ई,अ ई
ए,उ,अ उ
ए,ऊ,अ ऊ
ए,ऋ,अ ऋ
ए,ॠ,अ ॠ
ए,ऌ,अ ऌ
ए,ॡ,अ ॡ
ए,ए,अ ए
ए,ऐ,अ ऐ
ए,ओ,अ ओ
ए,औ,अ औ
ऐ,अ,आ अ
ऐ,आ,आ आ
ऐ,इ,आ इ
ऐ,ई,आ ई
ऐ,उ,आ उ
ऐ,ऊ,आ ऊ
ऐ,ऋ,आ ऋ
ऐ,ॠ,आ ॠ
ऐ,ऌ,आ ऌ
ऐ,ॡ,आ ॡ
ऐ,ए,आ ए
ऐ,ऐ,आ ऐ
ऐ,ओ,आ ओ
ऐ,औ,आ औ
औ,अ,आव् अ
औ,आ,आव् आ
औ,इ,आव् इ
औ,ई,आव् ई
औ,उ,आव् उ
औ,ऊ,आव् ऊ
औ,ऋ,आव् ऋ
औ,ॠ,आव् ॠ
औ,ऌ,आव् ऌ
औ,ॡ,आव् ॡ
औ,ए,आव् ए
औ,ऐ,आव् ऐ
औ,ओ,आव् ओ
औ,औ,आव् औ
अ,छ्,अ च्छ्
इ,छ्,इ च्छ्
उ,छ्,उ च्छ्
ऋ,छ्,ऋ च्छ्
ऌ,छ्,ऌ च्छ्
अस्,अ,ओ ऽ
अस्,आ,अ आ
अस्,इ,अ इ
अस्,ई,अ ई
अस्,उ,अ उ
अस्,ऊ,अ ऊ
अस्,ऋ,अ ऋ
अस्,ॠ,अ ॠ
अस्,ऌ,अ ऌ
अस्,ॡ,अ ॡ
अस्,ए,अ ए
अस्,ऐ,अ ऐ
अस्,ओ,अ ओ
अस्,औ,अ औ
अस्,क्,अः क्
अस्,ख्,अः ख्
अस्,ग्,ओ ग्
अस्,घ्,ओ घ्
अस्,ङ्,ओ ङ्
अस्,च्,अश् च्
अस्,छ्,अश् छ्
अस्,ज्,ओ ज्
अस्,झ्,ओ झ्
अस्,ञ्,ओ ञ्
अस्,ट्,अष् ट्
अस्,ठ्,अष् ठ्
अस्,ड्,ओ ड्
अस्,ढ्,ओ ढ्
अस्,ण्,ओ ण्
अस्,त्,अस् त्
अस्,थ्,अस् थ्
अस्,द्,ओ द्
अस्,ध्,ओ ध्
अस्,न्,ओ न्
अस्,प्,अः प्
अस्,फ्,अः फ्
अस्,ब्,ओ ब्
अस्,भ्,ओ भ्
अस्,म्,ओ म्
अस्,य्,ओ य्
अस्,र्,ओ र्
अस्,ल्,ओ ल्
अस्,व्,ओ व्
अस्,श्,अः श्
अस्,ष्,अः ष्
अस्,स्,अः स्
अस्,ह्,ओ ह्
आस्,अ,आ अ
आस्,आ,आ आ
आस्,इ,आ इ
आस्,ई,आ ई
आस्,उ,आ उ
आस्,ऊ,आ ऊ
आस्,ऋ,आ ऋ
आस्,ॠ,आ ॠ
आस्,ऌ,आ ऌ
आस्,ॡ,आ ॡ
आस्,ए,आ ए
आस्,ऐ,आ ऐ
आस्,ओ,आ ओ
आस्,औ,आ औ
आस्,क्,आः क्
आस्,ख्,आः ख्
आस्,ग्,आ ग्
आस्,घ्,आ घ्
आस्,ङ्,आ ङ्
आस्,च्,आश् च्
आस्,छ्,आश् छ्
आस्,ज्,आ ज्
आस्,झ्,आ झ्
आस्,ञ्,आ ञ्
आस्,ट्,आष् ट्
आस्,ठ्,आष् ठ्
आस्,ड्,आ ड्
आस्,ढ्,आ ढ्
आस्,ण्,आ ण्
आस्,त्,आस् त्
आस्,थ्,आस् थ्
आस्,द्,आ द्
आस्,ध्,आ ध्
आस्,न्,आ न्
आस्,प्,आः प्
आस्,फ्,आः फ्
आस्,ब्,आ ब्
आस्,भ्,आ भ्
आस्,म्,आ म्
आस्,य्,आ य्
आस्,र्,आ र्
आस्,ल्,आ ल्
आस्,व्,आ व्
आस्,श्,आः श्
आस्,ष्,आः ष्
आस्,स्,आः स्
आस्,ह्,आ ह्
अर्,अ,अर् अ
अर्,आ,अर् आ
अर्,इ,अर् इ
अर्,ई,अर् ई
अर्,उ,अर् उ
अर्,ऊ,अर् ऊ
अर्,ऋ,अर् ऋ
अर्,ॠ,अर् ॠ
अर्,ऌ,अर् ऌ
अर्,ॡ,अर् ॡ
अर्,ए,अर् ए
अर्,ऐ,अर् ऐ
अर्,ओ,अर् ओ
अर्,औ,अर् औ
अर्,क्,अः क्
अर्,ख्,अः ख्
अर्,ग्,अर् ग्
अर्,घ्,अर् घ्
अर्,ङ्,अर् ङ्
अर्,च्,अश् च्
अर्,छ्,अश् छ्
अर्,ज्,अर् ज्
अर्,झ्,अर् झ्
अर्,ञ्,अर् ञ्
अर्,ट्,अष् ट्
अर्,ठ्,अष् ठ्
अर्,ड्,अर् ड्
अर्,ढ्,अर् ढ्
अर्,ण्,अर् ण्
अर्,त्,अस् त्
अर्,थ्,अस् थ्
अर्,द्,अर् द्
अर्,ध्,अर् ध्
अर्,न्,अर् न्
अर्,प्,अः प्
अर्,फ्,अः फ्
अर्,ब्,अर् ब्
अर्,भ्,अर् भ्
अर्,म्,अर् म्
अर्,य्,अर् य्
अर्,र्,आ र्
अर्,ल्,अर् ल्
अर्,व्,अर् व्
अर्,श्,अः श्
अर्,ष्,अः ष्
अर्,स्,अः स्
अर्,ह्,अर् ह्
आर्,अ,आर् अ
आर्,आ,आर् आ
आर्,इ,आर् इ
आर्,ई,आर् ई
आर्,उ,आर् उ
आर्,ऊ,आर् ऊ
आर्,ऋ,आर् ऋ
आर्,ॠ,आर् ॠ
आर्,ऌ,आर् ऌ
आर्,ॡ,आर् ॡ
आर्,ए,आर् ए
आर्,ऐ,आर् ऐ
आर्,ओ,आर् ओ
आर्,औ,आर् औ
आर्,क्,आः क्
आर्,ख्,आः ख्
आर्,ग्,आर् ग्
आर्,घ्,आर् घ्
आर्,ङ्,आर् ङ्
आर्,च्,आश् च्
आर्,छ्,आश् छ्
आर्,ज्,आर् ज्
आर्,झ्,आर् झ्
आर्,ञ्,आर् ञ्
आर्,ट्,आष् ट्
आर्,ठ्,आष् ठ्
आर्,ड्,आर् ड्
आर्,ढ्,आर् ढ्
आर्,ण्,आर् ण्
आर्,त्,आस् त्
आर्,थ्,आस् थ्
आर्,द्,आर् द्
आर्,ध्,आर् ध्
आर्,न्,आर् न्
आर्,प्,आः प्
आर्,फ्,आः फ्
आर्,ब्,आर् ब्
आर्,भ्,आर् भ्
आर्,म्,आर् म्
आर्,य्,आर् य्
आर्,र्,आ र्
आर्,ल्,आर् ल्
आर्,व्,आर् व्
आर्,श्,आः श्
आर्,ष्,आः ष्
आर्,स्,आः स्
आर्,ह्,आर् ह्
इर्,अ,इर् अ
इर्,आ,इर् आ
इर्,इ,इर् इ
इर्,ई,इर् ई
इर्,उ,इर् उ
इर्,ऊ,इर् ऊ
इर्,ऋ,इर् ऋ
इर्,ॠ,इर् ॠ
इर्,ऌ,इर् ऌ
इर्,ॡ,इर् ॡ
इर्,ए,इर् ए
इर्,ऐ,इर् ऐ
इर्,ओ,इर् ओ
इर्,औ,इर् औ
इर्,क्,इः क्
इर्,ख्,इः ख्
इर्,ग्,इर् ग्
इर्,घ्,इर् घ्
इर्,ङ्,इर् ङ्
इर्,च्,इश् च्
इर्,छ्,इश् छ्
इर्,ज्,इर् ज्
इर्,झ्,इर् झ्
इर्,ञ्,इर् ञ्
इर्,ट्,इष् ट्
इर्,ठ्,इष् ठ्
इर्,ड्,इर् ड्
इर्,ढ्,इर् ढ्
इर्,ण्,इर् ण्
इर्,त्,इस् त्
इर्,थ्,इस् थ्
इर्,द्,इर् द्
इर्,ध्,इर् ध्
इर्,न्,इर् न्
इर्,प्,इः प्
इर्,फ्,इः फ्
इर्,ब्,इर् ब्
इर्,भ्,इर् भ्
इर्,म्,इर् म्
इर्,य्,इर् य्
इर्,र्,ई र्
इर्,ल्,इर् ल्
इर्,व्,इर् व्
इर्,श्,इः श्
इर्,ष्,इः ष्
इर्,स्,इः स्
इर्,ह्,इर् ह्
इस्,अ,इर् अ
इस्,आ,इर् आ
इस्,इ,इर् इ
इस्,ई,इर् ई
इस्,उ,इर् उ
इस्,ऊ,इर् ऊ
इस्,ऋ,इर् ऋ
इस्,ॠ,इर् ॠ
इस्,ऌ,इर् ऌ
इस्,ॡ,इर् ॡ
इस्,ए,इर् ए
इस्,ऐ,इर् ऐ
इस्,ओ,इर् ओ
इस्,औ,इर् औ
इस्,क्,इः क्
इस्,ख्,इः ख्
इस्,ग्,इर् ग्
इस्,घ्,इर् घ्
इस्,ङ्,इर् ङ्
इस्,च्,इश् च्
इस्,छ्,इश् छ्
इस्,ज्,इर् ज्
इस्,झ्,इर् झ्
इस्,ञ्,इर् ञ्
इस्,ट्,इष् ट्
इस्,ठ्,इष् ठ्
इस्,ड्,इर् ड्
इस्,ढ्,इर् ढ्
इस्,ण्,इर् ण्
इस्,त्,इस् त्
इस्,थ्,इस् थ्
इस्,द्,इर् द्
इस्,ध्,इर् ध्
इस्,न्,इर् न्
इस्,प्,इः प्
इस्,फ्,इः फ्
इस्,ब्,इर् ब्
इस्,भ्,इर् भ्
इस्,म्,इर् म्
इस्,य्,इर् य्
इस्,र्,ई र्
इस्,ल्,इर् ल्
इस्,व्,इर् व्
इस्,श्,इः श्
इस्,ष्,इः ष्
इस्,स्,इः स्
इस्,ह्,इर् ह्
ईर्,अ,ईर् अ
ईर्,आ,ईर् आ
ईर्,इ,ईर् इ
ईर्,ई,ईर् ई
ईर्,उ,ईर् उ
ईर्,ऊ,ईर् ऊ
ईर्,ऋ,ईर् ऋ
ईर्,ॠ,ईर् ॠ
ईर्,ऌ,ईर् ऌ
ईर्,ॡ,ईर् ॡ
ईर्,ए,ईर् ए
ईर्,ऐ,ईर् ऐ
ईर्,ओ,ईर् ओ
ईर्,औ,ईर् औ
ईर्,क्,ईः क्
ईर्,ख्,ईः ख्
ईर्,ग्,ईर् ग्
ईर्,घ्,ईर् घ्
ईर्,ङ्,ईर् ङ्
ईर्,च्,ईश् च्
ईर्,छ्,ईश् छ्
ईर्,ज्,ईर् ज्
ईर्,झ्,ईर् झ्
ईर्,ञ्,ईर् ञ्
ईर्,ट्,ईष् ट्
ईर्,ठ्,ईष् ठ्
ईर्,ड्,ईर् ड्
ईर्,ढ्,ईर् ढ्
ईर्,ण्,ईर् ण्
ईर्,त्,ईस् त्
ईर्,थ्,ईस् थ्
ईर्,द्,ईर् द्
ईर्,ध्,ईर् ध्
ईर्,न्,ईर् न्
ईर्,प्,ईः प्
ईर्,फ्,ईः फ्
ईर्,ब्,ईर् ब्
ईर्,भ्,ईर् भ्
ईर्,म्,ईर् म्
ईर्,य्,ईर् य्
ईर्,र्,ई र्
ईर्,ल्,ईर् ल्
ईर्,व्,ईर् व्
ईर्,श्,ईः श्
ईर्,ष्,ईः ष्
ईर्,स्,ईः स्
ईर्,ह्,ईर् ह्
ईस्,अ,ईर् अ
ईस्,आ,ईर् आ
ईस्,इ,ईर् इ
ईस्,ई,ईर् ई
ईस्,उ,ईर् उ
ईस्,ऊ,ईर् ऊ
ईस्,ऋ,ईर् ऋ
ईस्,ॠ,ईर् ॠ
ईस्,ऌ,ईर् ऌ
ईस्,ॡ,ईर् ॡ
ईस्,ए,ईर् ए
ईस्,ऐ,ईर् ऐ
ईस्,ओ,ईर् ओ
ईस्,औ,ईर् औ
ईस्,क्,ईः क्
ईस्,ख्,ईः ख्
ईस्,ग्,ईर् ग्
ईस्,घ्,ईर् घ्
ईस्,ङ्,ईर् ङ्
ईस्,च्,ईश् च्
ईस्,छ्,ईश् छ्
ईस्,ज्,ईर् ज्
ईस्,झ्,ईर् झ्
ईस्,ञ्,ईर् ञ्
ईस्,ट्,ईष् ट्
ईस्,ठ्,ईष् ठ्
ईस्,ड्,ईर् ड्
ईस्,ढ्,ईर् ढ्
ईस्,ण्,ईर् ण्
ईस्,त्,ईस् त्
ईस्,थ्,ईस् थ्
ईस्,द्,ईर् द्
ईस्,ध्,ईर् ध्
ईस्,न्,ईर् न्
ईस्,प्,ईः प्
ईस्,फ्,ईः फ्
ईस्,ब्,ईर् ब्
ईस्,भ्,ईर् भ्
ईस्,म्,ईर् म्
ईस्,य्,ईर् य्
ईस्,र्,ई र्
ईस्,ल्,ईर् ल्
ईस्,व्,ईर् व्
ईस्,श्,ईः श्
ईस्,ष्,ईः ष्
ईस्,स्,ईः स्
ईस्,ह्,ईर् ह्
उर्,अ,उर् अ
उर्,आ,उर् आ
उर्,इ,उर् इ
उर्,ई,उर् ई
उर्,उ,उर् उ
उर्,ऊ,उर् ऊ
उर्,ऋ,उर् ऋ
उर्,ॠ,उर् ॠ
उर्,ऌ,उर् ऌ
उर्,ॡ,उर् ॡ
उर्,ए,उर् ए
उर्,ऐ,उर् ऐ
उर्,ओ,उर् ओ
उर्,औ,उर् औ
उर्,क्,उः क्
उर्,ख्,उः ख्
उर्,ग्,उर् ग्
उर्,घ्,उर् घ्
उर्,ङ्,उर् ङ्
उर्,च्,उश् च्
उर्,छ्,उश् छ्
उर्,ज्,उर् ज्
उर्,झ्,उर् झ्
उर्,ञ्,उर् ञ्
उर्,ट्,उष् ट्
उर्,ठ्,उष् ठ्
उर्,ड्,उर् ड्
उर्,ढ्,उर् ढ्
उर्,ण्,उर् ण्
उर्,त्,उस् त्
उर्,थ्,उस् थ्
उर्,द्,उर् द्
उर्,ध्,उर् ध्
उर्,न्,उर् न्
उर्,प्,उः प्
उर्,फ्,उः फ्
उर्,ब्,उर् ब्
उर्,भ्,उर् भ्
उर्,म्,उर् म्
उर्,य्,उर् य्
उर्,र्,ऊ र्
उर्,ल्,उर् ल्
उर्,व्,उर् व्
उर्,श्,उः श्
उर्,ष्,उः ष्
उर्,स्,उः स्
उर्,ह्,उर् ह्
उस्,अ,उर् अ
उस्,आ,उर् आ
उस्,इ,उर् इ
उस्,ई,उर् ई
उस्,उ,उर् उ
उस्,ऊ,उर् ऊ
उस्,ऋ,उर् ऋ
उस्,ॠ,उर् ॠ
उस्,ऌ,उर् ऌ
उस्,ॡ,उर् ॡ
उस्,ए,उर् ए
उस्,ऐ,उर् ऐ
उस्,ओ,उर् ओ
उस्,औ,उर् औ
उस्,क्,उः क्
उस्,ख्,उः ख्
उस्,ग्,उर् ग्
उस्,घ्,उर् घ्
उस्,ङ्,उर् ङ्
उस्,च्,उश् च्
उस्,छ्,उश् छ्
उस्,ज्,उर् ज्
उस्,झ्,उर् झ्
उस्,ञ्,उर् ञ्
उस्,ट्,उष् ट्
उस्,ठ्,उष् ठ्
उस्,ड्,उर् ड्
उस्,ढ्,उर् ढ्
उस्,ण्,उर् ण्
उस्,त्,उस् त्
उस्,थ्,उस् थ्
उस्,द्,उर् द्
उस्,ध्,उर् ध्
उस्,न्,उर् न्
उस्,प्,उः प्
उस्,फ्,उः फ्
उस्,ब्,उर् ब्
उस्,भ्,उर् भ्
उस्,म्,उर् म्
उस्,य्,उर् य्
उस्,र्,ऊ र्
उस्,ल्,उर् ल्
उस्,व्,उर् व्
उस्,श्,उः श्
उस्,ष्,उः ष्
उस्,स्,उः स्
उस्,ह्,उर् ह्
ऊर्,अ,ऊर् अ
ऊर्,आ,ऊर् आ
ऊर्,इ,ऊर् इ
ऊर्,ई,ऊर् ई
ऊर्,उ,ऊर् उ
ऊर्,ऊ,ऊर् ऊ
ऊर्,ऋ,ऊर् ऋ
ऊर्,ॠ,ऊर् ॠ
ऊर्,ऌ,ऊर् ऌ
ऊर्,ॡ,ऊर् ॡ
ऊर्,ए,ऊर् ए
ऊर्,ऐ,ऊर् ऐ
ऊर्,ओ,ऊर् ओ
ऊर्,औ,ऊर् औ
ऊर्,क्,ऊः क्
ऊर्,ख्,ऊः ख्
ऊर्,ग्,ऊर् ग्
ऊर्,घ्,ऊर् घ्
ऊर्,ङ्,ऊर् ङ्
ऊर्,च्,ऊश् च्
ऊर्,छ्,ऊश् छ्
ऊर्,ज्,ऊर् ज्
ऊर्,झ्,ऊर् झ्
ऊर्,ञ्,ऊर् ञ्
ऊर्,ट्,ऊष् ट्
ऊर्,ठ्,ऊष् ठ्
ऊर्,ड्,ऊर् ड्
ऊर्,ढ्,ऊर् ढ्
ऊर्,ण्,ऊर् ण्
ऊर्,त्,ऊस् त्
ऊर्,थ्,ऊस् थ्
ऊर्,द्,ऊर् द्
ऊर्,ध्,ऊर् ध्
ऊर्,न्,ऊर् न्
ऊर्,प्,ऊः प्
ऊर्,फ्,ऊः फ्
ऊर्,ब्,ऊर् ब्
ऊर्,भ्,ऊर् भ्
ऊर्,म्,ऊर् म्
ऊर्,य्,ऊर् य्
ऊर्,र्,ऊ र्
ऊर्,ल्,ऊर् ल्
ऊर्,व्,ऊर् व्
ऊर्,श्,ऊः श्
ऊर्,ष्,ऊः ष्
ऊर्,स्,ऊः स्
ऊर्,ह्,ऊर् ह्
ऊस्,अ,ऊर् अ
ऊस्,आ,ऊर् आ
ऊस्,इ,ऊर् इ
ऊस्,ई,ऊर् ई
ऊस्,उ,ऊर् उ
ऊस्,ऊ,ऊर् ऊ
ऊस्,ऋ,ऊर् ऋ
ऊस्,ॠ,ऊर् ॠ
ऊस्,ऌ,ऊर् ऌ
ऊस्,ॡ,ऊर् ॡ
ऊस्,ए,ऊर् ए
ऊस्,ऐ,ऊर् ऐ
ऊस्,ओ,ऊर् ओ
ऊस्,औ,ऊर् औ
ऊस्,क्,ऊः क्
ऊस्,ख्,ऊः ख्
ऊस्,ग्,ऊर् ग्
ऊस्,घ्,ऊर् घ्
ऊस्,ङ्,ऊर् ङ्
ऊस्,च्,ऊश् च्
ऊस्,छ्,ऊश् छ्
ऊस्,ज्,ऊर् ज्
ऊस्,झ्,ऊर् झ्
ऊस्,ञ्,ऊर् ञ्
ऊस्,ट्,ऊष् ट्
ऊस्,ठ्,ऊष् ठ्
ऊस्,ड्,ऊर् ड्
ऊस्,ढ्,ऊर् ढ्
ऊस्,ण्,ऊर् ण्
ऊस्,त्,ऊस् त्
ऊस्,थ्,ऊस् थ्
ऊस्,द्,ऊर् द्
ऊस्,ध्,ऊर् ध्
ऊस्,न्,ऊर् न्
ऊस्,प्,ऊः प्
ऊस्,फ्,ऊः फ्
ऊस्,ब्,ऊर् ब्
ऊस्,भ्,ऊर् भ्
ऊस्,म्,ऊर् म्
ऊस्,य्,ऊर् य्
ऊस्,र्,ऊ र्
ऊस्,ल्,ऊर् ल्
ऊस्,व्,ऊर् व्
ऊस्,श्,ऊः श्
ऊस्,ष्,ऊः ष्
ऊस्,स्,ऊः स्
ऊस्,ह्,ऊर् ह्
ऋर्,अ,ऋर् अ
ऋर्,आ,ऋर् आ
ऋर्,इ,ऋर् इ
ऋर्,ई,ऋर् ई
ऋर्,उ,ऋर् उ
ऋर्,ऊ,ऋर् ऊ
ऋर्,ऋ,ऋर् ऋ
ऋर्,ॠ,ऋर् ॠ
ऋर्,ऌ,ऋर् ऌ
ऋर्,ॡ,ऋर् ॡ
ऋर्,ए,ऋर् ए
ऋर्,ऐ,ऋर् ऐ
ऋर्,ओ,ऋर् ओ
ऋर्,औ,ऋर् औ
ऋर्,क्,ऋः क्
ऋर्,ख्,ऋः ख्
ऋर्,ग्,ऋर् ग्
ऋर्,घ्,ऋर् घ्
ऋर्,ङ्,ऋर् ङ्
ऋर्,च्,ऋश् च्
ऋर्,छ्,ऋश् छ्
ऋर्,ज्,ऋर् ज्
ऋर्,झ्,ऋर् झ्
ऋर्,ञ्,ऋर् ञ्
ऋर्,ट्,ऋष् ट्
ऋर्,ठ्,ऋष् ठ्
ऋर्,ड्,ऋर् ड्
ऋर्,ढ्,ऋर् ढ्
ऋर्,ण्,ऋर् ण्
ऋर्,त्,ऋस् त्
ऋर्,थ्,ऋस् थ्
ऋर्,द्,ऋर् द्
ऋर्,ध्,ऋर् ध्
ऋर्,न्,ऋर् न्
ऋर्,प्,ऋः प्
ऋर्,फ्,ऋः फ्
